Payer,Provider,Procedure_Code,Description,Contract_Rate,Effective_Date,Term_Length,Region
Blue Cross Blue Shield,Memorial Health System,99213,Office/Outpatient Visit (Level 3),$71.17,01-01-2024,36,Southwest
Blue Cross Blue Shield,Memorial Health System,99214,Office/Outpatient Visit (Level 4),$121.46,01-12-2024,12,Southeast
Blue Cross Blue Shield,Memorial Health System,99215,Office/Outpatient Visit (Level 5),$157.78,01-11-2024,12,Southeast
Blue Cross Blue Shield,Memorial Health System,93000,Electrocardiogram (ECG),$40.16,01-03-2024,12,Southeast
Blue Cross Blue Shield,Memorial Health System,70450,CT Scan of Head/Brain,$283.03,01-04-2024,36,Midwest
Blue Cross Blue Shield,Memorial Health System,80053,Comprehensive Metabolic Panel,$25.71,01-01-2024,36,Southeast
Blue Cross Blue Shield,Memorial Health System,85025,Complete Blood Count (CBC),$21.11,01-07-2024,24,West
Blue Cross Blue Shield,Memorial Health System,71045,Chest X-Ray,$60.65,01-03-2024,36,Southeast
Blue Cross Blue Shield,Memorial Health System,99283,Emergency Dept Visit - Moderate,$197.47,01-01-2024,36,Midwest
Blue Cross Blue Shield,Memorial Health System,99284,Emergency Dept Visit - High,$367.61,01-05-2024,12,Southeast
Blue Cross Blue Shield,Memorial Health System,97110,Physical Therapy - 15 mins,$28.91,01-12-2024,36,West
Blue Cross Blue Shield,Memorial Health System,36415,Blood Draw/Venipuncture,$14.19,01-04-2024,36,Midwest
Blue Cross Blue Shield,Memorial Health System,90471,Vaccine Administration,$46.94,01-09-2024,24,Northeast
Blue Cross Blue Shield,Memorial Health System,90213,Immunization,$88.50,01-07-2024,36,Midwest
Blue Cross Blue Shield,Cleveland Clinic,99213,Office/Outpatient Visit (Level 3),$67.60,01-11-2024,24,Southeast
Blue Cross Blue Shield,Cleveland Clinic,99214,Office/Outpatient Visit (Level 4),$103.02,01-01-2024,24,Southwest
Blue Cross Blue Shield,Cleveland Clinic,99215,Office/Outpatient Visit (Level 5),$164.92,01-05-2024,36,Southeast
Blue Cross Blue Shield,Cleveland Clinic,93000,Electrocardiogram (ECG),$51.89,01-09-2024,12,Southwest
Blue Cross Blue Shield,Cleveland Clinic,70450,CT Scan of Head/Brain,$320.61,01-07-2024,12,Northeast
Blue Cross Blue Shield,Cleveland Clinic,80053,Comprehensive Metabolic Panel,$21.36,01-10-2024,12,Northeast
Blue Cross Blue Shield,Cleveland Clinic,85025,Complete Blood Count (CBC),$23.37,01-10-2024,36,West
Blue Cross Blue Shield,Cleveland Clinic,71045,Chest X-Ray,$50.31,01-01-2024,36,Southeast
